protein	scaffold	KO	AMG	KO name	KO evalue	KO score	KO v-score	Pfam	Pfam name	Pfam evalue	Pfam score	Pfam v-score	VOG	VOG name	VOG evalue	VOG score	VOG v-score
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1461	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF10987.8	Protein of unknown function (DUF2806)	9.2e-25	83.0	0.02					
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1462	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF08765.11	Mor transcription activator family	2.1e-18	61.6	0.17	VOG00774	REFSEQ hypothetical protein	5.3e-31	102.5	1.12
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1463	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF06252.12	Protein of unknown function (DUF1018)	9.6e-29	96.1	0.29	VOG03188	sp|P24796|GEMA_BPD10 GemA protein	1.6e-34	114.5	1.53
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1464	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1465	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF11363.8	Protein of unknown function (DUF3164)	5.9e-84	275.7	0.19	VOG12208	REFSEQ hypothetical protein	1.5e-87	287.7	0.71
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1466	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23												VOG02635	REFSEQ hypothetical protein	3.4999999999999997e-25	83.8	0.98
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1467	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23												VOG02078	REFSEQ hypothetical protein	4.5e-19	64.0	0.94
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1468	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23	K07132		MuB; ATP-dependent target DNA activator [EC:3.6.1.3]	2.1999999999999997e-62	209.2	0.26	PF13401.6	AAA domain	4.8e-16	54.5	0.23	VOG01384	sp|P03763|TARGB_BPMU ATP-dependent target DNA activator B	1.6e-39	131.3	1.54
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1469	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23	K07497		K07497; putative transposase	8.1e-18	62.9	0.39	PF00665.26	Integrase core domain	5.2e-18	60.6	0.44	VOG00758	sp|P16942|T629_SHISO Transposase for insertion sequence element IS629	7.7e-110	364.0	2.68
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1470	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1471	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23	K01356		lexA; repressor LexA [EC:3.4.21.88]	1.1e-17	62.2	2.88	PF00717.23	Peptidase S24-like	4.5e-13	44.3	1.35					
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1472	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF10124.9	Mu-like prophage major head subunit gpT	2.4e-24	81.4	1.0	VOG11303	sp|Q9T1W1|CAPSD_BPMU Major capsid protein	9.2e-21	69.4	1.38
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1473	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF10124.9	Mu-like prophage major head subunit gpT	4.4e-26	87.1	1.0	VOG11303	sp|Q9T1W1|CAPSD_BPMU Major capsid protein	3.7e-27	90.4	1.38
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35_2769	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35	K01933	AMG	purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	3.7000000000000006e-161	535.7	0.2	PF02769.22	"AIR synthase related protein, C-terminal domain"	7.1e-32	105.9	0.2	VOG11818	sp|Q3AMJ2|PUR5_SYNSC Phosphoribosylformylglycinamidine cyclo-ligase	2.5e-94	311.0	1.65
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35_2770	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35_2771	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35	K04069		"pflA, pflC, pflE; pyruvate formate lyase activating enzyme [EC:1.97.1.4]"	9.2e-83	276.6	0.02	PF04055.21	Radical SAM superfamily	1.4e-15	53.3	0.21					
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35_2772	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35_2773	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35							PF10145.9	Phage-related minor tail protein	3.8e-16	54.8	4.37	VOG22080	REFSEQ hypothetical protein	1.4e-20	68.7	0.14
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35_2774	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35_2775	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35_2776	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35_2777	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35							PF10124.9	Mu-like prophage major head subunit gpT	2.5e-121	399.7	1.0	VOG11303	sp|Q9T1W1|CAPSD_BPMU Major capsid protein	6.1e-121	398.4	1.38
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35_2778	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35							PF10123.9	Mu-like prophage I protein	2.1e-66	219.9	1.0	VOG00373	sp|O05073|VPI_HAEIN Mu-like prophage FluMu I protein	4.8e-37	123.6	3.01
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35_2779	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35							PF06252.12	Protein of unknown function (DUF1018)	6.2e-19	64.4	0.29	VOG03188	sp|P24796|GEMA_BPD10 GemA protein	8.7e-20	66.7	1.53
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35_2780	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35_2781	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35_2782	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35												VOG02078	REFSEQ hypothetical protein	4.6e-21	70.5	0.94
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35_2783	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35	K07132		MuB; ATP-dependent target DNA activator [EC:3.6.1.3]	1.8999999999999999e-56	189.6	0.26	PF13401.6	AAA domain	8.9e-14	47.2	0.23	VOG01384	sp|P03763|TARGB_BPMU ATP-dependent target DNA activator B	7.3e-39	129.2	1.54
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35_2784	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35	K07497		K07497; putative transposase	2e-14	51.8	0.39	PF00665.26	Integrase core domain	3.7e-18	61.1	0.44	VOG00758	sp|P16942|T629_SHISO Transposase for insertion sequence element IS629	4.3e-108	358.3	2.68
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35_2785	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35_2786	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_35												VOG02771	sp|P03034|RPC1_LAMBD Repressor protein cI	7.8e-12	41.2	10.0
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47_3647	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47												VOG12900	REFSEQ major head protein	1e-15	52.9	1.0
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47_3648	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47_3649	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47_3650	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47_3651	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47												VOG02735	REFSEQ hypothetical protein	1.3e-22	75.6	1.21
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47_3652	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47_3653	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47_3654	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47_3655	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47_3656	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47_3657	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47_3658	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47_3659	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47												VOG03414	REFSEQ hypothetical protein	2.8e-25	84.3	4.77
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47_3660	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47_3661	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47_3662	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47_3663	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_47												VOG03467	REFSEQ hypothetical protein	2.1e-24	81.4	0.12
