protein	scaffold	accession	name
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_102	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	None	hypothetical protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_103	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	None	hypothetical protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_104	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG04625	sp|P08711|VPB_BP186 Late control gene B protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_105	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG00236	sp|Q4Z9G3|PORTL_BPTWO Probable portal protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_106	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG15362	"sp|P25479|VPP_BPP2 Terminase, ATPase subunit"
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_107	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG10261	sp|P25478|SCAF_BPP2 Capsid assembly scaffolding protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_108	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	PF05125.12	"Phage major capsid protein, P2 family"
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_109	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG10262	"sp|P25476|VPM_BPP2 Terminase, endonuclease subunit"
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_110	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	PF05926.11	Phage head completion protein (GPL)
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_111	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG03803	sp|P36933|VPR_BPP2 Tail completion protein R
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_112	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG03710	sp|P51724|YO22_BPHC1 Uncharacterized 26.0 kDa protein in rep-hol intergenic region
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_113	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	PF10758.9	Protein of unknown function (DUF2586)
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_114	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG11405	sp|P51726|YO24_BPHC1 Putative tail tube protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_115	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG00389	sp|P41039|YBII_ECOLI Uncharacterized protein YbiI
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_116	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG01571	sp|P03705|HOLIN_LAMBD Antiholin
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_117	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG00460	sp|P51771|ENLYS_BPP2 Endolysin
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_118	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG00134	"sp|Q8LTD0|SPAN2_BPP2 Probable spanin, outer lipoprotein subunit"
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_119	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	PF10963.8	Phage tail assembly chaperone
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_120	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	PF10145.9	Phage-related minor tail protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_121	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG11407	sp|P51732|YO28_BPHC1 Uncharacterized 12.7 kDa protein in lys 3'region
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_122	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG00243	sp|P51767|BPJ_BPP2 Baseplate protein J
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_123	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG01944	sp|P26701|BPI_BPP2 Baseplate protein I
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_124	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG12621	REFSEQ putative tail fiber protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_125	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG03442	REFSEQ hypothetical protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_126	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	None	hypothetical protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_127	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG11408	sp|P51737|YO33_BPHC1 Uncharacterized 28.3 kDa protein in lys 3'region
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_128	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG11409	sp|P51738|YO34_BPHC1 Uncharacterized 20.8 kDa protein in lys 3'region
